"Month, Year",Northeast,Southwest,Northwest,Southeast,Central
16-Jan,494802,468568,482079,456264,450958
16-Feb,489804,480616,475603,486254,462115
16-Mar,494802,508522,499443,472458,486622
16-Apr,514593,485843,498369,491684,465233
16-May,530187,520702,494824,506283,481505
16-Jun,535597,505795,496319,487485,479030
16-Jul,535177,508209,500862,494349,508730
16-Aug,551395,565889,534997,528096,543317
16-Sep,535177,528691,518454,532999,502539
16-Oct,555233,526477,521095,534868,526230
16-Nov,572058,561883,553667,545521,515630
16-Dec,533459,523023,515310,527590,499934
17-Jan,575421,565229,558757,570976,537745
17-Feb,617056,604829,571804,562771,554985
17-Mar,598908,588966,557794,574279,566922
17-Apr,572252,564881,576355,544006,556367
17-May,589593,581282,593043,561398,553008
17-Jun,619920,589151,601024,568801,583193
17-Jul,615797,603530,593195,582559,549188
17-Aug,634457,650131,640292,627562,620620
17-Sep,615797,634386,597493,611586,604200
17-Oct,611044,603620,592072,607867,572688
17-Nov,655257,617373,633211,599701,590704
17-Dec,661944,628813,647408,615520,632487
18-Jan,656173,643522,661166,628883,644887
18-Feb,703651,665729,656788,670138,632427
18-Mar,656173,621175,638333,628762,595202
18-Apr,676361,669008,655833,645172,638688
18-May,725300,684253,676062,667148,685635
18-Jun,676361,665594,653852,621402,639543
18-Jul,669233,688374,679430,641861,659775
18-Aug,717656,704765,692634,682664,669525
18-Sep,696549,657397,647890,666178,659216
18-Oct,579193,594662,586020,555918,546227
18-Nov,621101,635260,600398,590592,604963
18-Dec,579193,591571,559893,576529,566883
19-Jan,632975,650348,639403,607870,597827
19-Feb,626581,615567,608514,596797,614105
19-Mar,608152,626456,590437,581824,596676
19-Apr,620316,635037,600920,613518,603366
19-May,665200,627613,619337,637738,625187
19-Jun,620316,587530,579200,571287,563433
19-Jul,583828,598164,567000,556786,546901
19-Aug,601520,616820,585417,601397,590281
19-Sep,607658,620699,589432,606109,599869
